Piemonte;13,2;15,4
Valle d'Aosta / Vallée d'Aoste;12,4;11,9
Liguria;9,9;20,8
Lombardia;10,1;16,2
Trentino Alto Adige / Südtirol;6;7,8
Provincia Autonoma Bolzano / Bozen;5,2;10,1
Provincia Autonoma Trento;6,8;5,5
Veneto;11;15,7
Friuli-Venezia Giulia;9,7;10,9
Emilia-Romagna;8,7;16,6
Toscana;11,1;20,5
Umbria;12,8;38,6
Marche;11;24,2
Lazio;11,7;39,3
Abruzzo;9,4;30,1
Molise;13,2;25,2
Campania;22,6;25,6
Puglia;10,9;30
Basilicata;14,4;25,4
Calabria;16,7;31,1
Sicilia;17;25
Sardegna;11,9;24
