REGIONE;ALIMENTAZIONE;EURO 0;EURO 1;EURO 2;EURO 3;EURO 4;EURO 5;EURO 6;Non contemplato;Non identificato;TOTALE
PIEMONTE;BENZINA Totale;182083;45830;176841;191872;390783;184106;232731;;1040;1405286
PIEMONTE;BENZINA E GAS LIQUIDO Totale;11803;3653;11355;8656;88882;56854;68559;;15;249777
PIEMONTE;BENZINA E METANO Totale;647;151;458;936;17561;8563;6034;;1;34351
PIEMONTE;ELETTRICO-IBRIDO Totale;;;;;424;3353;15715;753;;20245
PIEMONTE;GASOLIO Totale;28002;8338;48169;173902;341518;320206;308940;;12;1229087
PIEMONTE;ALTRE Totale;48;;;3;1;3;4;;;59
PIEMONTE;NON DEFINITO Totale;39;;2;13;6;;;;19;79
VALLE D'AOSTA;BENZINA Totale;6056;1503;5691;6644;16807;7181;34081;;8;77971
VALLE D'AOSTA;BENZINA E GAS LIQUIDO Totale;115;42;129;108;1633;514;518;;1;3060
VALLE D'AOSTA;BENZINA E METANO Totale;5;6;4;11;114;159;101;;;400
VALLE D'AOSTA;ELETTRICO-IBRIDO Totale;;;;;14;140;690;33;;877
VALLE D'AOSTA;GASOLIO Totale;456;224;1558;5176;9940;16297;71042;;2;104695
VALLE D'AOSTA;ALTRE Totale;1;;;;;;;;;1
VALLE D'AOSTA;NON DEFINITO Totale;1;;;;;;;;;1
LOMBARDIA;BENZINA Totale;329253;91611;331662;376273;964539;570679;637386;;1870;3303273
LOMBARDIA;BENZINA E GAS LIQUIDO Totale;15588;4208;10924;9753;144997;78779;62324;;34;326607
LOMBARDIA;BENZINA E METANO Totale;1737;531;1659;2284;27457;22366;14934;;4;70972
LOMBARDIA;ELETTRICO-IBRIDO Totale;;;;9;2288;16013;53399;2033;;73742
LOMBARDIA;GASOLIO Totale;57194;15290;80803;320781;640229;681047;575187;;27;2370558
LOMBARDIA;ALTRE Totale;85;;1;1;5;;;;;92
LOMBARDIA;NON DEFINITO Totale;289;9;10;16;6;;;;35;365
LIGURIA;BENZINA Totale;57850;15853;53161;58684;131297;68966;72008;;189;458008
LIGURIA;BENZINA E GAS LIQUIDO Totale;1877;496;1167;970;10973;6967;6786;;3;29239
LIGURIA;BENZINA E METANO Totale;412;139;268;308;2892;3129;1989;;;9137
