REGIONE;ALIMENTAZIONE;FASCIA;EURO 0;EURO 1;EURO 2;EURO 3;EURO 4;EURO 5;EURO 6;Non contemplato;Non identificato;TOTALE
PIEMONTE;BENZINA Totale;;179312;40787;143443;161805;357321;177177;356437;;1030;1417312
PIEMONTE;BENZINA E GAS LIQUIDO Totale;;11282;3228;9314;7708;82653;56521;101731;;13;272450
PIEMONTE;BENZINA E METANO Totale;;614;140;356;786;15520;7060;6207;;1;30684
PIEMONTE;ELETTRICITA Totale;;;;;;;;;3886;;3886
PIEMONTE;GASOLIO Totale;;27847;7874;39672;136307;287605;294095;347324;;12;1140736
PIEMONTE;IBRIDO BENZINA Totale;;;;;;372;2967;41180;;;44519
PIEMONTE;IBRIDO GASOLIO Totale;;;;;;;160;2474;;;2634
PIEMONTE;METANO Totale;;28;4;12;21;407;796;2059;;;3327
PIEMONTE;ALTRE Totale;;55;;;2;1;4;2;;;64
PIEMONTE;NON DEFINITO Totale;;39;;2;11;4;;;;19;75
VALLE D'AOSTA;BENZINA Totale;;5894;1352;4657;5440;14891;6456;48002;;8;86700
VALLE D'AOSTA;BENZINA E GAS LIQUIDO Totale;;112;40;109;96;1405;507;774;;1;3044
VALLE D'AOSTA;BENZINA E METANO Totale;;5;6;3;9;104;108;99;;;334
VALLE D'AOSTA;ELETTRICITA Totale;;;;;;;;;254;;254
VALLE D'AOSTA;GASOLIO Totale;;455;208;1317;4459;9208;11825;100581;;2;128055
VALLE D'AOSTA;IBRIDO BENZINA Totale;;;;;;15;117;3003;;;3135
VALLE D'AOSTA;IBRIDO GASOLIO Totale;;;;;;;13;100;;;113
VALLE D'AOSTA;METANO Totale;;;;;1;3;17;63;;;84
VALLE D'AOSTA;ALTRE Totale;;1;;;;;;;;;1
VALLE D'AOSTA;NON DEFINITO Totale;;1;;;;;;;;;1
LOMBARDIA;BENZINA Totale;;325079;81239;263201;310896;873225;553287;1006717;;1861;3415505
LOMBARDIA;BENZINA E GAS LIQUIDO Totale;;15454;3934;9265;8616;131231;77476;100400;;33;346409
LOMBARDIA;BENZINA E METANO Totale;;1615;469;1329;1742;22103;17304;13793;;4;58359
LOMBARDIA;ELETTRICITA Totale;;;;;;;;;10356;;10356
LOMBARDIA;GASOLIO Totale;;56866;14521;64713;230760;506433;627673;738474;;27;2239467
LOMBARDIA;IBRIDO BENZINA Totale;;;;;;1992;14356;120207;;;136555
LOMBARDIA;IBRIDO GASOLIO Totale;;;;;7;;548;7833;;;8388
LOMBARDIA;METANO Totale;;97;22;35;209;3252;4446;8382;;;16443
LOMBARDIA;ALTRE Totale;;89;;3;1;7;;4;;;104
LOMBARDIA;NON DEFINITO Totale;;288;8;7;12;3;;;;35;353
LIGURIA;BENZINA Totale;;56680;14004;42437;48671;117329;65927;111854;;187;457089
LIGURIA;BENZINA E GAS LIQUIDO Totale;;1851;470;1008;875;9654;6591;10515;;3;30967
LIGURIA;BENZINA E METANO Totale;;393;116;227;240;2389;2529;1869;;;7763
LIGURIA;ELETTRICITA Totale;;;;;;;;;715;;715
LIGURIA;GASOLIO Totale;;7831;2357;11263;39856;89899;86951;95535;;3;333695
LIGURIA;IBRIDO BENZINA Totale;;;;;;54;695;12400;;;13149
LIGURIA;IBRIDO GASOLIO Totale;;;;;;;39;810;;;849
LIGURIA;METANO Totale;;10;4;7;14;142;312;733;;;1222
