Comune;"PM10
valore della
concentrazione
media annua 
(in µg/m3)";"PM2,5
valore della
concentrazione
media annua
(in µg/m3)";"NO2
valore della
concentrazione
media annua di
(in µg/m3)";"B(a)P
valore della
concentrazione
media annua di
(in mg/m3)"
Torino;35;;50;0,8
Torino;34;23;40;0,7
Torino;32;;35;0,7
Torino;37;;70;1,1
Vercelli;26;20;21;0,4
Vercelli;33;;35;
Novara;26;;51;0,5
Novara;40;18;26;0,4
Biella;20;14;24;0,5
Biella;24;;34;0,7
Cuneo;23;17;26;0,3
Verbania;15;11;27;0,4
Asti;34;;38;1
Asti;29;;28;
Alessandria;36;;43;0,6
Alessandria;27;21;23;0,5
Aosta;20;;26;1,3
Aosta;17;13;26;1,1
Aosta;;;24;
Aosta;18;11;27;0,9
Savona;19;0;32;0
Savona;19;12;16;0
Savona;23;17;0;0,3
Genova;;;;
Genova;19;;32;0,1
Genova;13;10;13;0,1
Genova;;;20;
Genova;;;52;
Genova;;;;
Genova;;;56;
Genova;;;;
Genova;;;43;
Genova;28;;57;
Genova;30;21;57;
La Spezia;21;;43;0,4
La Spezia;22;10;33;0,4
La Spezia;22;11;28;0,4
La Spezia;20;;31;
La Spezia;;;15;
La Spezia;24;15;36;0,3
La Spezia;;;12;
La Spezia;;;4;
Varese;26;20;41;0,3
Varese;;;26;
Como;31;24;46;
Lecco;25;;39;
Lecco;21;15;24;
Sondrio;20;;24;
Sondrio;23;19;22;1,2
Milano;;;40;
Milano;35;25;56;0,3
Milano;34;;48;
Milano;;;52;
Milano;;;32;
Milano;;;58;
Milano;;;67;
Milano;38;28;43;0,2
Monza;35;29;59;0
Monza;;;;
Bergamo;33;;44;
Bergamo;30;22;28;0,4
Bergamo;;;26;
Brescia;33;23;37;
Brescia;;;;0,6
Brescia;;;59;
Brescia;;;34;
Pavia;36;;40;
Pavia;30;21;28;
Lodi;33;20;32;
Lodi;31;24;32;
Cremona;35;27;33;
Cremona;36;25;27;
Cremona;28;;23;
Mantova;31;;25;
Mantova;34;;22;
Mantova;33;24;20;0,4
Mantova;35;;30;
Mantova;;;21;
Bolzano - Bozen;14;11;39;
Bolzano - Bozen;17;12;;1,3
Bolzano - Bozen;;;31;
Trento;20;15;35;0,9
Trento;23;;46;
Verona;30;0;31;0
Verona;29;22;21;0,6
Vicenza;36;;36;
Vicenza;34;24;31;1
Vicenza;;;32;
Belluno;21;;30;
Belluno;17;13;21;1,3
Treviso;35;24;32;1,7
Treviso;38;;39;
Venezia;32;25;30;1,3
Venezia;34;;34;
Venezia;37;;41;
Venezia;36;;47;
Venezia;39;27;31;1,5
Padova;36;;40;1,4
Padova;37;30;33;1,1
Padova;37;;;1,5
Padova;33;25;36;1,4
Padova;33;24;36;1,3
Rovigo;32;24;29;
Rovigo;31;;18;0,7
Pordenone;25;18;29;0,8
Udine;22;16;20;0,6
Udine;21;;16;
Udine;23;;27;
Gorizia;20;15;24;
Trieste;20;;22;
Trieste;;;;0,2
Trieste;18;;29;
Piacenza;30;;;
Piacenza;;;40;
Piacenza;26;20;24;
Piacenza;30;21;34;
Parma;29;;35;
Parma;29;20;24;0,2
Reggio nell'Emilia;33;;39;
Reggio nell'Emilia;28;19;23;
Modena;30;;29;
Modena;27;17;30;0,2
Modena;28;;22;
Modena;28;18;23;
Modena;30;;42;
Bologna;23;16;31;0,1
Bologna;26;19;52;0,2
Bologna;24;;26;
Ferrara;29;;39;0,3
Ferrara;26;16;20;0,3
Ferrara;27;17;24;
Ferrara;;;;
Ferrara;30;22;27;0,3
Ravenna;25;;33;0,4
Ravenna;26;;24;0,3
Ravenna;25;18;20;0,2
Forlì;25;;;
Forlì;22;15;;
Rimini;32;;44;
Rimini;27;18;23;0,4
Massa;44;22;14;
Lucca;26;;26;0,7
Lucca;;;10;
Lucca;28;;26;
Pistoia;20;;24;
Firenze;19;13;23;0,3
Firenze;18;;;
Firenze;30;17;65;0,7
Firenze;22;;41;
Firenze;;;9;
Prato;25;16;31;
Prato;26;18;31;0,7
Livorno;24;13;33;
Livorno;18;10;16;
Livorno;19;;21;0,2
Pisa;22;14;19;
Pisa;27;18;36;
Arezzo;25;;;
Arezzo;19;13;18;
Siena;21;;37;
Grosseto;26;0;37;0
Grosseto;17;10;16;
Grosseto;;;3;
Perugia;25;17;21;0,4
Perugia;24;13;23;
Perugia;20;14;27;
Terni;33;26;19;1,3
Terni;34;24;28;1
Terni;35;27;18;1,2
