;15-19 anni;20-24 anni;25-34 anni;35-44 anni;45-54 anni;55-64 anni;65 anni e più;15 anni e più
vanno a piedi;11,3;12,4;10,9;10,4;11,9;14,2;24,3;12
usano mezzi di trasporto;86,6;85,9;88,2;88,5;86,8;84,5;72,8;86,8
treno;8,7;5,5;4,3;3,5;3,2;3;3;3,6
tram, bus;7,2;5,9;6,4;5,2;5,1;4,7;6,8;5,4
metropolitana;4,6;5,9;4,9;3,7;2,8;2,3;2,8;3,5
pullman, corriera;6,2;5,8;2,6;2,8;2,1;1,3;0,1;2,4
pullman aziendale;1,2;1,5;0,5;0,3;0,5;0,5;0;0,5
auto privata (come conducente);29,4;60,1;68,4;72,3;70,5;67,5;55,5;69,2
auto privata (come passeggero);31,7;10,6;6,6;4,9;4,4;5;5;5,4
motocicletta, ciclomotore;7,9;2,8;4,1;4,6;4,3;4,5;2,7;4,3
bicicletta;3,6;5,8;3,7;4,1;4,3;4,2;4,4;4,2
tempo impiegato;..;..;..;..;..;..;..;..
fino a 15 minuti;44,2;38,9;35,9;36,7;38,9;43,3;42,1;38,6
31 minuti e più;14,3;17,4;19,8;17,5;18,5;13,5;8,6;17,3
