;  vanno a piedi;  usano mezzi di trasporto;  treno;  tram, bus;  metropolitana;  pullman, corriera;  pullman aziendale;  auto privata (come conducente);  auto privata (come passeggero);  motocicletta, ciclomotore;  bicicletta;  tempo impiegato;
;;;;;;;;;;;;    fino a 15 minuti;    31 minuti e più
    Piemonte;29,2;70,3;5,7;13,8;3,5;10,8;4,2;4,9;42,8;0,8;2;61,4;12,9
    Valle d'Aosta / Vallée d'Aoste;20;80;3,6;10,7;2,3;16,4;10,3;0,6;48,5;0,5;5,4;64;10,3
    Liguria;29,8;70,2;12,7;21,3;2,4;10,6;6,4;1,7;28,5;5,1;0,6;55,1;20,6
    Lombardia;26,8;72,8;9,1;11,6;11,1;13,7;2,7;5,4;36,3;0,8;3,5;57,9;20,9
    Trentino Alto Adige / Südtirol;32,3;67,4;10,2;20,6;0,4;16,9;12,9;3,3;17,4;0,5;7,2;59,9;16,4
    Provincia Autonoma Bolzano / Bozen;37,8;62,2;13,3;20,7;0;15,9;6,8;2;15;0,8;11,7;59,3;17,4
    Provincia Autonoma Trento;27,1;72,3;7,3;20,4;0,8;17,8;18,6;4,5;19,7;0,3;3;60,6;15,4
    Veneto;21,8;77,9;7,5;10,8;0,4;18,3;4,8;5,5;40,3;1,4;6;56,8;18,8
    Friuli-Venezia Giulia;25,6;74,4;4,1;17,7;0,4;15,3;8;6,1;36,2;0;8,2;58,7;15,6
    Emilia-Romagna;21,1;78,5;4,3;12;0,2;11,3;6,4;4,5;44,3;1,2;7,3;67,1;12,8
  Centro;24,7;74,9;6,3;15,2;5,6;8,3;5,4;6,1;39,4;2,3;1,8;57,8;15,7
    Toscana;25,3;74;7,9;10,2;0,3;11,6;3,6;6,7;41,7;4;3,5;58,9;15,1
    Umbria;16,3;83,7;4,1;14,6;0,4;7,3;10,4;7,1;52;1,3;0,2;66,5;10,8
    Marche;21,8;77,7;2,4;13,6;0,5;14,1;5,3;5,8;42,7;1,3;3,4;64;14,7
    Lazio;26,2;73,6;6,6;18,7;10,9;5;5,8;5,7;35,4;1,6;0,6;54,4;17
    Abruzzo;21;78,6;4;13,2;0,6;18,8;8,4;5,7;39,7;2,7;2;59;14,5
    Molise;35,2;64,8;2,1;6,9;2,2;14,5;9,7;5,5;32,4;0;1;58,1;9,9
    Campania;33,8;65;8,7;9,3;3,8;10,8;5,5;3,9;35,1;0,8;0;54,5;14,1
    Puglia;37,2;61,8;8,1;6,7;0,4;10,4;1,3;3,5;36,2;0,3;1,2;60,1;10,4
    Basilicata;26,7;72,1;1,9;13;1,7;16,1;9,6;5,1;32;0;0,7;63,1;11,3
    Calabria;25,5;72,4;3,7;12,4;1,1;12,5;6,4;3,8;38,6;1,1;0,3;57,8;11,3
    Sicilia;31,3;68,2;0,9;9,1;1,6;9,4;1,8;4,2;43,6;5,2;0,4;55,3;13,2
    Sardegna;25,3;74,3;2,2;12,7;0;20,1;2,6;3,5;39,7;0,4;1,9;61,2;10,6
