Misura;;per 100 persone con le stesse caratteristiche;;;;;;;;;;;;
Tipo dato;;bambini dell'asilo, della scuola dell'infanzia e studenti fino a 34 anni che escono di casa per andare a scuola o all'università, per mezzo di trasporto utilizzato e tempo impiegato;;;;;;;;;;;;
;;  vanno a piedi;  usano mezzi di trasporto;  treno;  tram, bus;  metropolitana;  pullman, corriera;  pullman aziendale;  auto privata (come conducente);  auto privata (come passeggero);  motocicletta, ciclomotore;  bicicletta;  tempo impiegato;
;;;;;;;;;;;;;    fino a 15 minuti;    31 minuti e più
Seleziona periodo;Territorio;;;;;;;;;;;;;
;    Piemonte;29,2;70,8;4;9,6;3,5;8,7;2,5;5,1;43,6;1,2;1,6;61;10,8
;    Valle d'Aosta / Vallée d'Aoste;25,4;74,6;2,3;4,8;1,3;17,7;9,4;4,3;39;0,8;0,4;59,3;15,2
;    Liguria;37,3;62,7;11,8;14,3;1,8;8,2;2,1;0,3;29;4;0,7;58,1;15,6
;    Lombardia;33,3;66,7;6,7;7,5;6,1;12,2;2,6;4;37;1,4;4,6;59,2;15,7
;    Trentino Alto Adige / Südtirol;34,3;65,7;9,6;17,2;0;19,8;6,9;2,2;21,5;1,1;7,8;56,5;17
;    Provincia Autonoma Bolzano / Bozen;40;60;10;13,5;0;16;6,1;0,9;19,8;1;12,1;58,9;14,4
;    Provincia Autonoma Trento;28,7;71,3;9,1;20,9;0;23,5;7,6;3,5;23;1,2;3,7;54,1;19,5
;    Veneto;20,6;79,4;5,7;9,9;0,2;12;6,4;2,7;45,9;1,2;8,2;60,5;16
;    Friuli-Venezia Giulia;22,2;77,8;4,6;17,3;0,3;15,5;5,6;4,6;42,4;2,6;2,6;52,5;14,3
;    Emilia-Romagna;22,6;77,4;5,3;15,1;0;7,5;4;4;42,7;2,1;6;63,1;11,5
;    Toscana;23,3;76,7;6,3;10,4;0,2;8,7;3,9;5,6;48,3;5,2;2,2;65,1;12,7
;    Umbria;18,6;81,4;4,6;11,2;1,8;5,6;8,9;7,8;49,8;0;1,3;64,2;13,3
;    Marche;20,8;79,2;2,7;11,8;0,7;11,5;5,9;9,7;43,5;2,8;1,3;63,6;10,2
;    Lazio;31,8;68,2;6,5;12,8;7,5;5,1;2,6;5;37,1;2,6;0;50,3;13,1
;    Abruzzo;23,3;76,7;3,3;7,8;0,6;12,9;13,4;3,5;38,7;1,2;3,4;59,4;7
;    Molise;21,2;78,8;0;7,4;0;24,7;10,3;7,3;35,2;0,6;0,4;52,5;15,8
;    Campania;34,3;65,7;6,7;6,4;4,9;6,4;2,5;4;38,7;0,8;0,4;50;8
;    Puglia;41;59;6,6;4,3;1,4;9,9;2,6;4,3;31;0,3;0,6;57,1;9,1
;    Basilicata;25,6;74,4;1,5;8,6;1,6;16,3;6,7;2,7;40,2;0;0,4;54,6;11,2
;    Calabria;23,7;76,3;1,6;8;0,5;11,8;9,7;2,2;45,2;1,8;0,2;53,7;9,1
;    Sicilia;36,5;63,5;2,2;5,3;0,7;4,7;1,4;3;43,7;4,7;0,3;63;4,9
;    Sardegna;27,5;72,5;3,4;8,8;0;15,8;3,5;3,1;41,6;0,9;0,6;60,1;12,4
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
