;0-5 anni;6-10 anni;11-13 anni;14-17 anni;18-19 anni;20-24 anni;25-34 anni;fino a 34 anni
 ;28,7;37,6;41,5;19,4;14,1;15,5;14,6;27,9
  usano mezzi di trasporto;70,5;61,8;58;80,3;85,6;83,8;84,7;71,5
  treno;0,5;0,2;1,1;5,6;11,5;25,2;21,4;5,9
  tram, bus;3,4;4,4;8;20,1;23,5;26,6;22;12,5
  metropolitana;0,1;0,2;0,2;3,5;9,3;16,3;10,6;3,7
  pullman, corriera;0,3;1,7;3,9;32,3;29,5;17,6;15,5;12,3
  pullman aziendale;3,6;7,9;9,1;3,3;3,8;0,7;0,7;5,1
  auto privata (come conducente);0;0;0;0;7,9;25,6;41,3;5
  auto privata (come passeggero);63,4;48,3;36,1;26;22;12,4;7,6;37
  motocicletta, ciclomotore;0,4;0,9;0,8;3,4;4,1;4,5;2,2;2
  bicicletta;1,2;1,4;3,9;2,6;4;3,9;6,1;2,7
  tempo impiegato;..;..;..;..;..;..;..;..
    fino a 15 minuti;87,8;84,4;78,6;37,2;27,9;14,9;13,1;60
    31 minuti e più;1,4;1,7;4;27,7;32,1;37;31,7;14,5
