;;;0-5 anni;6-10 anni;11-13 anni;14-17 anni;18-19 anni;20-24 anni;25-34 anni;fino a 34 anni
2020;  vanno a piedi;;38,7;39,2;39,6;21,5;21,6;15,3;18,9;30,5
;  usano mezzi di trasporto;;61,3;60,8;60,4;78,5;78,4;84,7;81,1;69,5
;  treno;;0;..;0,5;5;14,4;26;19,4;5,9
;  tram, bus;;1;3,6;9,2;20,7;19,3;26,7;20,4;12,3
;  metropolitana;;0,5;0,4;0,2;2,4;6,4;15,5;14;3,5
;  pullman, corriera;;0;0,6;4,3;30;23,5;15,2;12,3;11,6
;  pullman aziendale;;3;5,5;5,3;2;2,8;0,1;0,9;3,3
;  auto privata (come conducente);;0;0;0;0;11,6;25,3;35,9;5,1
;  auto privata (come passeggero);;56,4;50,5;39,8;24,4;16,4;10,4;2,6;34,9
;  motocicletta, ciclomotore;;0,2;0,3;0,3;2,8;4,5;4;3,4;1,7
;  bicicletta;;0,9;1,2;3,5;3,2;1,5;3,5;3,6;2,3
;  tempo impiegato;;..;..;..;..;..;..;..;..
;    fino a 15 minuti;;83,2;80,8;72,5;34,1;29,5;13,6;10,4;55,3
;    31 minuti e più;;1,7;1,8;4,5;24,5;26,8;33,1;27,2;13,7
;;;;;;;;;;
